PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,MIN,AVG_SPEED_OFF,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_2PT_MR,PCT_PTS_FB,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,HEIGHT
Aaron Gordon,203932,ORL,29,4.82,0.755,0.245,0.645,0.175,0.089,0.177,0.206,0.556,81
TJ Warren,203933,PHX,31,4.58,0.841,0.159,0.75,0.163,0.264,0.186,0.214,0.485,80
Marcus Smart,203935,BOS,30,4.24,0.544,0.456,0.441,0.328,0.039,0.131,0.176,0.401,76
Kyle Anderson,203937,SAS,14,4.73,0.875,0.125,0.72,0.103,0.309,0.111,0.186,0.411,81
Dwight Powell,203939,DAL,17,4.52,0.946,0.054,0.722,0.015,0.16,0.08,0.158,0.561,83
Noah Vonleh,203943,POR,16,4.74,0.835,0.165,0.749,0.117,0.148,0.064,0.12,0.601,81
Julius Randle,203944,LAL,29,4.46,0.957,0.043,0.757,0.033,0.085,0.162,0.187,0.672,81
Andrew Wiggins,203952,MIN,37,4.21,0.853,0.147,0.641,0.102,0.185,0.125,0.164,0.456,80
Jabari Parker,203953,MIL,34,4.7,0.961,0.039,0.811,0.025,0.191,0.18,0.204,0.621,80
Clint Capela,203991,HOU,24,4.6,0.997,0.003,0.852,0,0.004,0.098,0.166,0.849,82
Nikola Jokic,203999,DEN,28,4.54,0.86,0.14,0.701,0.106,0.083,0.048,0.126,0.618,82
Kristaps Porzingis,204001,NYK,33,4.41,0.726,0.274,0.568,0.236,0.237,0.038,0.102,0.331,87
Tyler Johnson,204020,MIA,30,4.61,0.708,0.292,0.58,0.258,0.178,0.083,0.175,0.401,76
Tim Frazier,204025,NOP,23,4.7,0.79,0.21,0.613,0.184,0.222,0.126,0.169,0.391,73
Tarik Black,204028,LAL,16,4.77,1,0,0.857,0,0.015,0.045,0.113,0.842,81
Joe Ingles,204060,UTA,24,4.3,0.278,0.722,0.251,0.711,0.082,0.094,0.161,0.17,80
Tyson Chandler,2199,PHX,28,4.16,0.997,0.003,0.775,0,0.017,0.081,0.136,0.758,85
Richard Jefferson,2210,CLE,20,3.89,0.446,0.554,0.376,0.483,0.068,0.151,0.137,0.307,79
Zach Randolph,2216,MEM,25,3.95,0.971,0.029,0.817,0.017,0.263,0.035,0.154,0.554,81
Tony Parker,2225,SAS,26,4.95,0.908,0.092,0.754,0.095,0.278,0.13,0.14,0.476,74
LeBron James,2544,CLE,37,4.02,0.801,0.199,0.677,0.136,0.123,0.213,0.212,0.554,80
Carmelo Anthony,2546,NYK,34,4.06,0.763,0.237,0.587,0.2,0.342,0.048,0.093,0.245,80
Shaun Livingston,2733,GSW,18,4.82,0.968,0.032,0.824,0.012,0.34,0.16,0.105,0.484,79
Devin Harris,2734,DAL,17,4.41,0.578,0.422,0.472,0.32,0.09,0.216,0.201,0.382,75
Andre Iguodala,2738,GSW,26,4.6,0.582,0.418,0.534,0.354,0.118,0.252,0.269,0.416,78
Kris Humphries,2743,ATL,12,4.56,0.634,0.366,0.507,0.297,0.187,0.137,0.192,0.321,81
JR Smith,2747,CLE,28,4.08,0.4,0.6,0.312,0.641,0.136,0.073,0.136,0.176,78
Jameer Nelson,2749,DEN,27,4.37,0.531,0.469,0.468,0.431,0.214,0.097,0.124,0.254,72
Tony Allen,2754,MEM,27,4.09,0.91,0.09,0.748,0.084,0.097,0.273,0.273,0.65,76
Trevor Ariza,2772,HOU,34,4.13,0.419,0.581,0.336,0.541,0.051,0.222,0.228,0.285,80
