PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,BLK_PER_SHOT,DREB,STL,BLK,LOOSE_BALLS_RECOVERED,AVG_SPEED_DEF,HEIGHT
Marvin Williams,101107,CHA,0.191136684068132,0.166834170854271,2.17704918032787,0.0132817873490976,7.21311475409836,1.04918032786885,0.918032786885246,0.734426229508197,3.76,81
Chris Paul,101108,LAC,0.0688909901391328,0.159880239520958,4.35555555555556,0.00186167737131155,5.33333333333333,2.41269841269841,0.126984126984127,1.6,3.5,72
Raymond Felton,101109,LAC,0.120245164168641,0.203389830508475,3.43661971830986,0.00849010548956071,4.31924882629108,1.50234741784038,0.563380281690141,1.44600938967136,4.14,73
Channing Frye,101112,CLE,0.319128422676437,0.13302752293578,1.77540106951872,0.0158007837188725,7.05882352941176,0.855614973262032,1.06951871657754,0.385026737967914,3.54,83
Gerald Green,101123,BOS,0.146198830409357,0.217391304347826,1.78571428571429,0.0107944732297064,5,0.714285714285714,0.714285714285714,0.928571428571429,4,79
David Lee,101135,SAS,0.234150651645681,0.181818181818182,1.6989247311828,0.0165171861321705,8.17204301075269,0.860215053763441,1.0752688172043,1.03225806451613,3.9,81
Brandon Bass,101138,LAC,0.184849270104518,0.130434782608696,2.16216216216216,0.0108242680088759,6.12612612612613,1.08108108108108,0.720720720720721,1.44144144144144,3.98,80
CJ Miles,101139,IND,0.106582411795682,0.188235294117647,1.97446808510638,0.00803481754268497,4.42553191489362,1.02127659574468,0.51063829787234,0.885106382978723,3.7,78
Monta Ellis,101145,IND,0.0769770266340512,0.153086419753086,3.11439114391144,0.00880485147316171,3.83763837638376,1.62361623616236,0.590405904059041,1.43173431734317,3.8,75
Amir Johnson,101161,BOS,0.29580088426061,0.0888888888888889,2.59405940594059,0.0241848935108908,6.13861386138614,1.18811881188119,1.58415841584158,1.10891089108911,3.76,81
Marcin Gortat,101162,WAS,0.261059138449651,0.0908571428571429,1.26114649681529,0.0148873215847554,9.55414012738854,0.636942675159236,1.01910828025478,0.64968152866242,3.78,83
Alan Anderson,101187,LAC,0.0546828651757848,0.172058823529412,1.16504854368932,0,2.71844660194175,0.388349514563107,0,1.16504854368932,4.16,78
Jahlil Okafor,1626143,PHI,0.320880212693536,0.130275229357798,1.19823788546256,0.0262637802772142,5.63876651982379,0.704845814977974,1.76211453744493,1.26872246696035,3.93,83
Emmanuel Mudiay,1626144,DEN,0.0867891182225589,0.160714285714286,1.81395348837209,0.00437770870726262,4.18604651162791,1.08527131782946,0.310077519379845,0.728682170542636,3.8,77
Tyus Jones,1626145,MIN,0.0596255226322487,0.144871794871795,4.37795275590551,0.00463983296601322,2.83464566929134,2.51968503937008,0.31496062992126,1.35433070866142,4,74
Anthony Brown,1626148,ORL,0.0957016747793086,0.209195402298851,2.26206896551724,0.00419265237670982,6.3448275862069,1.37931034482759,0.275862068965517,1.51724137931034,4.07,79
Montrezl Harrell,1626149,HOU,0.285642317380353,0.222321428571429,1.33333333333333,0.0225442834138486,5.11111111111111,0.888888888888889,1.55555555555556,1.04444444444444,3.74,80
Andrew Harrison,1626150,MEM,0.13517745302714,0.201694915254237,2.88780487804878,0.00968992248062015,2.92682926829268,1.36585365853659,0.585365853658537,1.36585365853659,3.71,78
Sam Dekker,1626155,HOU,0.206435643564356,0.187719298245614,2.23913043478261,0.00949367088607595,5.43478260869565,1.08695652173913,0.652173913043478,1.19565217391304,4.04,81
D'Angelo Russell,1626156,LAL,0.0927166272821686,0.149689440993789,3.48251748251748,0.00608278672735936,4.1958041958042,1.95804195804196,0.41958041958042,1.11888111888112,3.88,77
Karl-Anthony Towns,1626157,MIN,0.242380497799716,0.163546798029557,1.23577235772358,0.0205536846432355,9.10569105691057,0.758807588075881,1.40921409214092,1.11653116531165,3.86,84
Richaun Holmes,1626158,PHI,0.289434364994664,0.0990654205607477,2.93069306930693,0.0293040293040293,7.32673267326733,1.38613861386139,1.98019801980198,1.16831683168317,3.87,82
Justise Winslow,1626159,MIA,0.149073166256715,0.177300613496933,2.88184438040346,0.00500811732349517,4.49567723342939,1.61383285302594,0.345821325648415,0.703170028818444,3.8,79
Willie Cauley-Stein,1626161,SAC,0.255453263664261,0.14047619047619,2.94623655913978,0.0162943409753793,6.88172043010753,1.50537634408602,1.0752688172043,1.46236559139785,4.01,84
Kelly Oubre Jr.,1626162,WAS,0.11394274728624,0.191304347826087,4.88888888888889,0.00609263856944846,5.05050505050505,1.41414141414141,0.404040404040404,1.33333333333333,4.03,79
Frank Kaminsky,1626163,CHA,0.227765144054291,0.152631578947368,1.74712643678161,0.011105311670572,5.82375478927203,1.0727969348659,0.766283524904214,0.85823754789272,3.72,84
Devin Booker,1626164,PHX,0.072860593010737,0.161256544502618,1.75498575498576,0.00483412895038975,2.96296296296296,1.02564102564103,0.341880341880342,1.05982905982906,3.69,78
Myles Turner,1626167,IND,0.277020825979527,0.108064516129032,2.26031746031746,0.0388798889146031,6.98412698412698,1.14285714285714,2.66666666666667,0.711111111111111,3.72,83
Trey Lyles,1626168,UTA,0.171889968523334,0.181707317073171,1.68674698795181,0.0113346557098328,6.50602409638554,0.963855421686747,0.72289156626506,0.72289156626506,3.89,82
Stanley Johnson,1626169,DET,0.115549299079125,0.135714285714286,3.03448275862069,0.0111736005065366,4.59770114942529,1.60919540229885,0.689655172413793,0.942528735632184,4.09,79
