CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,BLK_PER_SHOT,DEFLECTIONS,STL,LOOSE_BALLS_RECOVERED,DREB,AVG_SPEED_DEF,HEIGHT,PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,CLUSTER
0.334866703124492,0.267357267932312,0.136313753951347,-0.348800060165983,-0.414310369558039,-1.02116041871253,0.7545612707148,-0.534204747173346,0.542041158440879,Marvin Williams,101107,CHA,1
-1.04812575999969,0.0845405844762691,-1.02598753951368,2.07165360806781,2.55626256059187,1.64539445715118,-0.0793893624902358,-1.91503960148088,-2.03641237828604,Chris Paul,101108,LAC,3
-0.467144677148406,1.22839414609561,-0.351367891325796,1.05065975492824,0.572963583960875,1.17099882871647,-0.52928018885404,1.48393850142997,-1.74991754087194,Raymond Felton,101109,LAC,3
1.78286543541729,-0.62140895005104,0.392688932869781,-0.795055648032041,-0.836013615746933,-2.09754806994838,0.686111150342294,-1.70260347004895,1.11503083326908,Channing Frye,101112,CLE,4
-0.173525134015885,1.59648852150947,-0.116836909557645,-0.783597034802486,-1.14391482778379,-0.423061394878378,-0.227270143378338,0.740412041418224,-0.0309485163873261,Gerald Green,101123,BOS,1
0.821493193243392,0.661282237563258,0.465602018053506,-0.880025531876848,-0.825991838429837,-0.103636160350822,1.17998244894393,0.209321712838403,0.542041158440879,David Lee,101135,SAS,4
0.263735803992197,-0.68957128369238,-0.11380449477052,-0.365340446798765,-0.344811097786015,1.15692644685783,0.272327089351737,0.63419397570226,0.255546321026776,Brandon Bass,101138,LAC,2
-0.621714404310399,0.829986116235907,-0.397705603535404,-0.573880032673484,-0.475101694748698,-0.556963244964492,-0.482128510440812,-0.852858944321237,-0.317443353801428,CJ Miles,101139,IND,3
-0.956646647978665,-0.0940668159175782,-0.319334078642384,0.692644123768618,0.837160937106792,1.12702191419143,-0.742942977102532,-0.321768615741418,-1.17692786604374,Monta Ellis,101145,IND,3
1.51895585483881,-1.78179985728882,1.24599609670367,0.114523775721269,-0.111617721653261,0.132506587286712,0.277867177477061,-0.534204747173346,0.542041158440879,Amir Johnson,101161,BOS,4
1.12591483173137,-1.73005507503139,0.299719756383669,-1.36642389421215,-1.31241507792412,-1.28223163291478,1.79313925155784,-0.427986681457382,1.11503083326908,Marcin Gortat,101162,WAS,4
-1.20886540740886,0.404711755415269,-1.21546294919879,-1.47319459077676,-1.85400240390343,0.305448670750705,-1.23946383780661,1.59015656714594,-0.317443353801428,Alan Anderson,101187,LAC,3
1.80268382175678,-0.69376588883954,1.45757836536528,-1.43631920452369,-1.16448067847467,0.624834741612366,0.0561137318918146,0.368648811412351,1.11503083326908,Jahlil Okafor,1626143,PHI,4
-0.845640294476579,0.106467398476121,-0.769914132001594,-0.752221555511569,-0.335682209805624,-1.03885602013211,-0.588374375779518,-0.321768615741418,-0.603938191215531,Emmanuel Mudiay,1626144,DEN,3
-1.15294803485859,-0.310026739110792,-0.743235985680147,2.09653826590571,2.78934460080452,0.88856624793145,-1.18791301135223,0.740412041418224,-1.46342270345784,Tyus Jones,1626145,MIN,3
-0.744810578934109,1.38102081573182,-0.788748557658072,-0.254337884946248,0.304913895025244,1.39044171823631,0.369352317446075,1.1121752714241,-0.0309485163873261,Anthony Brown,1626148,ORL,2
1.40402975004122,1.72609994796511,1.07902018827783,-1.28621990893345,-0.763522759819937,-0.0660938364902988,-0.177976549748971,-0.640422812889308,0.255546321026776,Montrezl Harrell,1626149,HOU,4
-0.298212404077979,1.18383535328235,-0.229254457799995,0.440892940198476,0.275597035593516,0.924064756806671,-1.14701646353605,-0.799749911463256,-0.317443353801428,Andrew Harrison,1626150,MEM,3
0.507947201887981,0.816420745874803,-0.249228300663768,-0.279823993911493,-0.332010809204815,0.399728629518208,-0.0343821683068997,0.952848172850153,0.542041158440879,Sam Dekker,1626155,HOU,1
-0.77858107880145,-0.183372326826255,-0.596376890059775,1.10165497486578,1.56574386359255,0.163221657958447,-0.584045453912571,0.103103647122439,-0.603938191215531,D'Angelo Russell,1626156,LAL,3
0.914599255615714,0.180933262820441,0.876423581909409,-1.39461611285387,-1.04691906765997,0.155982205513912,1.59418825536536,-0.00311441859352517,1.40152567068319,Karl-Anthony Towns,1626157,MIN,4
1.4469300199963,-1.51426201715772,1.76700492808636,0.488544340733786,0.319790024192333,0.3155172167058,0.804966990543564,0.0499946142644581,0.828535995854981,Richaun Holmes,1626158,PHI,4
-0.14100713942956,0.542516776963954,-0.705753213106429,0.434270463186623,0.815846769415365,-1.11745073756412,-0.451009076998666,-0.321768615741418,-0.0309485163873261,Justise Winslow,1626159,MIA,2
1.06249433544858,-0.425585806186929,0.442921569749178,0.505814107492745,0.579562430292906,1.22138703472645,0.607540716473853,0.793521074276205,1.40152567068319,Willie Cauley-Stein,1626161,SAC,4
-0.538445307605696,0.910670579948915,-0.595374201922318,2.66421952283274,0.380797180170498,0.823880076203269,-0.204863964455898,0.899739139992172,-0.0309485163873261,Kelly Oubre Jr.,1626162,WAS,2
0.749252539292471,-0.106024438680329,-0.0852007937426871,-0.826470492305491,-0.362859014252995,-0.639737499048752,0.138182361115248,-0.746640878605272,1.40152567068319,Frank Kaminsky,1626163,CHA,4
-1.00321676830782,0.12072321270639,-0.723461178397627,-0.817738309653487,-0.465593307988108,-0.0186987760509966,-1.13098602658341,-0.90596797717922,-0.317443353801428,Devin Booker,1626164,PHX,3
