PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,OPP_FGM_RA,OPP_FGA_RA,OPP_FG_PCT_RA,OPP_FGM_NRA,OPP_FGA_NRA,OPP_FG_PCT_NRA,OPP_FGM_MR,OPP_FGA_MR,OPP_FG_PCT_MR,OPP_FGM_LC3,OPP_FGA_LC3,OPP_FG_PCT_LC3,OPP_FGM_RC3,OPP_FGA_RC3,OPP_FG_PCT_RC3,OPP_FGM_AB3,OPP_FGA_AB3,OPP_FG_PCT_AB3,OPP_FGM,OPP_FGA,OPP_FG_PCT
1737,Nazr Mohammed,1610612760,OKC,38.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.8,0.0,,,,0.0,0.0,0.0,0.3,0.5,0.5,0.0,0.0,0.0
2555,Nick Collison,1610612760,OKC,35.0,2.7,4.9,0.545,1.0,2.4,0.421,1.9,3.9,0.486,0.0,1.0,0.0,0.2,0.2,1.0,1.2,2.9,0.423,0.0,0.0,0.0
201587,Nicolas Batum,1610612766,CHA,27.0,11.8,15.8,0.747,5.0,10.0,0.5,5.0,13.4,0.373,0.8,2.3,0.333,1.8,2.8,0.643,2.6,6.8,0.382,0.0,0.5,0.0
203943,Noah Vonleh,1610612757,POR,20.0,1.5,1.5,1.0,0.5,1.0,0.5,0.5,1.8,0.286,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.8,0.6,0.0,0.0,0.0
1626181,Norman Powell,1610612761,TOR,23.0,2.9,5.4,0.536,1.7,3.1,0.551,2.2,5.4,0.402,0.4,1.7,0.211,0.3,0.6,0.429,1.2,3.0,0.392,0.0,0.2,0.0
203798,PJ Hairston,1610612763,MEM,23.0,2.0,3.0,0.667,1.0,2.0,0.5,1.5,5.0,0.3,0.5,0.5,1.0,0.5,0.5,1.0,2.5,4.0,0.625,,,
203143,Pablo Prigioni,1610612746,LAC,39.0,3.3,5.3,0.625,0.0,0.0,0.0,0.8,2.6,0.308,0.0,0.0,0.0,0.0,0.7,0.0,1.4,3.6,0.389,0.0,0.0,0.0
1626192,Pat Connaughton,1610612757,POR,23.0,0.5,0.5,1.0,0.0,0.5,0.0,0.5,1.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.8,0.6,0.0,0.0,0.0
201976,Patrick Beverley,1610612745,HOU,27.0,9.2,14.0,0.657,3.2,6.6,0.485,3.6,10.6,0.34,0.4,2.4,0.167,0.8,2.2,0.364,4.2,11.4,0.368,0.0,0.0,0.0
202335,Patrick Patterson,1610612761,TOR,27.0,8.8,14.4,0.61,2.8,6.2,0.452,5.0,11.3,0.438,0.9,3.0,0.288,0.8,1.9,0.395,3.5,9.2,0.375,0.0,0.2,0.0
201988,Patty Mills,1610612759,SAS,27.0,5.7,9.3,0.613,1.5,3.9,0.385,3.2,7.8,0.41,0.4,1.2,0.333,0.4,0.9,0.5,0.6,4.4,0.136,0.0,0.6,0.0
202331,Paul George,1610612754,IND,26.0,10.7,20.9,0.514,3.6,9.1,0.391,5.6,16.3,0.342,1.4,3.9,0.37,1.3,3.1,0.409,2.9,13.4,0.213,0.0,0.0,0.0
200794,Paul Millsap,1610612737,ATL,31.0,11.9,24.3,0.49,1.8,4.9,0.367,3.9,11.8,0.331,1.9,4.2,0.452,1.8,4.3,0.419,5.4,16.6,0.325,0.0,0.1,0.0
1718,Paul Pierce,1610612746,LAC,38.0,4.0,6.0,0.667,0.4,2.6,0.154,1.6,4.4,0.364,0.5,1.5,0.333,0.3,1.0,0.25,1.2,4.6,0.261,0.0,0.0,0.0
