PLAYER_NAME,TEAM_ABBREVIATION,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,BLK_PER_SHOT,DREB,STL,BLK,LOOSE_BALLS_RECOVERED,AVG_SPEED_DEF,HEIGHT
Andrew Bogut,DAL,0.247324207922903,0.0457142857142857,2.05309734513274,0.0294542134252305,11.1504424778761,0.884955752212389,1.76991150442478,0.353982300884956,3.66,84
Marvin Williams,CHA,0.183049787237545,0.152717391304348,2.36042402826855,0.0102513108863796,6.78445229681979,0.989399293286219,0.706713780918728,0.565371024734982,3.73,81
Chris Paul,LAC,0.0702136345080963,0.159119496855346,5.05194805194805,0.001899515623516,5.97402597402597,2.72727272727273,0.12987012987013,1.2987012987013,3.52,72
Raymond Felton,LAC,0.127486025942825,0.208130081300813,3.16157205240175,0.0104968279897918,4.36681222707424,1.39737991266376,0.698689956331878,1.51965065502183,4.13,73
Channing Frye,CLE,0.342782834850455,0.131775700934579,1.64444444444444,0.0167084377610693,6.66666666666667,0.666666666666667,1.11111111111111,0.488888888888889,3.61,83
Deron Williams,DAL,0.0953773764862975,0.178985507246377,2.13513513513514,0.00220974941441641,3.10810810810811,0.810810810810811,0.135135135135135,0.635135135135135,3.57,75
Gerald Green,BOS,0.149073675140026,0.202857142857143,1.80869565217391,0.0107497984412792,5.21739130434783,0.695652173913043,0.695652173913043,1.04347826086957,4.02,79
David Lee,SAS,0.225612164296998,0.194117647058824,1.59574468085106,0.0131337010769635,8.08510638297872,1.06382978723404,0.851063829787234,1.17021276595745,3.95,81
Brandon Bass,LAC,0.181418361737218,0.119444444444444,1.68067226890756,0.0100336126022174,5.3781512605042,0.672268907563025,0.672268907563025,1.41176470588235,3.97,80
CJ Miles,IND,0.104299105699817,0.180740740740741,2.10434782608696,0.01362305020094,4.52173913043478,1.04347826086957,0.869565217391304,0.765217391304348,3.74,78
Ersan Ilyasova,PHI,0.116041689051252,0.141605839416058,2.7007299270073,0.00648305222098564,6.86131386861314,0.875912408759124,0.437956204379562,0.671532846715329,3.73,82
Monta Ellis,IND,0.0826696239540276,0.168944099378882,2.94736842105263,0.00872276860675579,3.90977443609023,1.35338345864662,0.601503759398496,1.05263157894737,3.84,75
Lou Williams,LAL,0.0695997115037865,0.127737226277372,2.97520661157025,0.00482741974414675,3.47107438016529,1.81818181818182,0.330578512396694,1.32231404958678,3.58,73
Amir Johnson,BOS,0.284859641049241,0.0733333333333333,2.44102564102564,0.0186161960905988,5.94871794871795,1.02564102564103,1.23076923076923,0.861538461538461,3.79,81
Marcin Gortat,WAS,0.256887519260401,0.0900523560209424,1.40289855072464,0.0167609469935051,9.6231884057971,0.695652173913043,1.15942028985507,0.742028985507246,3.77,83
Jose Calderon,LAL,0.0867662302760395,0.18961038961039,3.01639344262295,0,4.59016393442623,0.983606557377049,0,0.950819672131147,3.97,75
Alan Anderson,LAC,0.0579805017183737,0.179220779220779,1.52212389380531,0,2.83185840707965,0.353982300884956,0,1.34513274336283,4.16,78
Jahlil Okafor,PHI,0.319621405169276,0.12212389380531,1.12068965517241,0.0232138251225174,5.3448275862069,0.517241379310345,1.55172413793103,1.20689655172414,3.9,83
Emmanuel Mudiay,DEN,0.0829893268881141,0.150331125827815,1.89399293286219,0.00398686328547436,4.24028268551237,1.13074204946996,0.282685512367491,0.678445229681979,3.79,77
Tyus Jones,MIN,0.0551691984925599,0.101369863013699,4.35087719298246,0.00495798111009197,2.45614035087719,2.10526315789474,0.350877192982456,0.842105263157895,3.94,74
Justin Anderson,DAL,0.144578313253012,0.163529411764706,2.35616438356164,0.0135165577832845,6.3013698630137,1.64383561643836,0.821917808219178,0.794520547945205,3.88,78
Anthony Brown,ORL,0.0957016747793086,0.209195402298851,2.26206896551724,0.00419265237670982,6.3448275862069,1.37931034482759,0.275862068965517,1.51724137931034,4.07,79
Montrezl Harrell,HOU,0.287380452530907,0.218181818181818,1.41538461538462,0.0238556731772775,4.92307692307692,0.82051282051282,1.64102564102564,1.14871794871795,3.74,80
Andrew Harrison,MEM,0.138133007931666,0.192,3.12107623318386,0.0121258052292535,2.86995515695067,1.61434977578475,0.717488789237668,1.32735426008969,3.69,78
Sam Dekker,HOU,0.208847809214704,0.206086956521739,2.21319796954315,0.00915764892626566,5.0761421319797,1.21827411167513,0.609137055837563,0.99492385786802,4.01,81
D'Angelo Russell,LAL,0.099112728462199,0.14527027027027,3.44150943396226,0.00661211670385982,4.83018867924528,1.81132075471698,0.452830188679245,1.05660377358491,3.92,77
Karl-Anthony Towns,MIN,0.238697925291571,0.176381909547739,1.14285714285714,0.0241270045519615,9.12087912087912,0.769230769230769,1.64835164835165,1.04395604395604,3.87,84
Richaun Holmes,PHI,0.284192825112108,0.10375,3.55844155844156,0.0270897832817337,7.01298701298701,1.2987012987013,1.81818181818182,1.03896103896104,3.82,82
Justise Winslow,MIA,0.149073166256715,0.177300613496933,2.88184438040346,0.00500811732349517,4.49567723342939,1.61383285302594,0.345821325648415,0.703170028818444,3.8,79
Willie Cauley-Stein,SAC,0.293493935024175,0.105747126436782,3.55905511811024,0.0195226707013519,5.35433070866142,1.25984251968504,1.25984251968504,1.32283464566929,4.1,84
Kelly Oubre Jr.,WAS,0.111278595495655,0.205785123966942,4.47169811320755,0.00577100646352724,5.28301886792453,1.50943396226415,0.377358490566038,1.18867924528302,4.03,79
Frank Kaminsky,CHA,0.216557889028108,0.169753086419753,2,0.00931608305288042,5.85365853658537,1.30081300813008,0.650406504065041,0.813008130081301,3.75,84
