PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,STL,BLK,DREB,DEF_RIM_FGM,DEF_RIM_FGA,DEF_RIM_FG_PCT
203895,Jordan McRae,1610612739,CLE,22,10,12,196.0,3,1,16,5,11,0.455
1626175,Jordan Mickey,1610612738,BOS,16,9,7,57.0,0,11,7,13,27,0.481
203268,Jorge Gutierrez,1610612766,CHA,12,9,3,63.0,3,0,7,2,5,0.4
101181,Jose Calderon,1610612752,NYK,72,29,43,2024.0,63,7,207,61,107,0.57
200826,Jose Juan Barea,1610612742,DAL,74,38,36,1667.0,26,2,126,29,51,0.569
203962,Josh Huestis,1610612760,OKC,5,2,3,55.0,1,2,8,4,11,0.364
201177,Josh McRoberts,1610612748,MIA,42,27,15,595.0,18,7,83,46,99,0.465
1626196,Josh Richardson,1610612748,MIA,52,29,23,1107.0,36,25,86,46,97,0.474
2746,Josh Smith,1610612745,HOU,55,31,24,880.0,34,47,141,93,208,0.447
201950,Jrue Holiday,1610612740,NOP,65,27,38,1831.0,88,22,168,82,136,0.603
203944,Julius Randle,1610612747,LAL,81,17,64,2286.0,53,29,657,213,378,0.563
1626147,Justin Anderson,1610612742,DAL,55,28,27,647.0,19,25,114,27,48,0.563
202712,Justin Harper,1610612751,BKN,5,4,1,35.0,1,0,1,3,5,0.6
203200,Justin Holiday,1610612741,CHI,53,28,25,773.0,32,19,78,42,89,0.472
1626159,Justise Winslow,1610612748,MIA,78,46,32,2232.0,68,26,322,135,247,0.547
203994,Jusuf Nurkic,1610612743,DEN,32,14,18,547.0,24,44,110,89,152,0.586
203909,KJ McDaniels,1610612745,HOU,37,17,20,235.0,7,6,26,15,24,0.625
1626157,Karl-Anthony Towns,1610612750,MIN,82,29,53,2627.0,58,138,629,362,730,0.496
202695,Kawhi Leonard,1610612759,SAS,72,60,12,2380.0,128,71,398,79,176,0.449
203951,Keith Appling,1610612753,ORL,5,0,5,27.0,1,0,1,0,0,0.0
203482,Kelly Olynyk,1610612738,BOS,68,39,29,1370.0,51,33,206,152,278,0.547
